,category,prompt,claim,explanation,urls,error,message,label
0,climate,How often do temperatures on the coastal plain of NC drop below freezing at night?,"The coastal plain of North Carolina typically experiences nighttime temperatures below freezing on fewer than 10 nights per year, although this can vary depending on weather patterns and location.","According to the Climate of North Carolina section of Wikipedia, ""The coastal plain has mild winters, with average January temperatures ranging from 40¬∞F (4¬∞C) in the southeast to 32¬∞F (0¬∞C) in the north."" Additionally, the IPCC Special Report on Global Warming of 1.5¬∞C states that ""the number of cold days (defined as daily minimum temperature below 0¬∞C) is projected to decrease in the future"" in North Carolina. Based on these sources, it appears that nighttime temperatures below freezing are rare in the coastal plain of North Carolina,","['https://en.wikipedia.org/wiki/Climate_of_North_Carolina', 'https://www.ipcc.ch/sr15/chapter/chapter-3/']",,,FALSE
1,climate,What sort of temperature is typical on a Kathmandu morning?,"Nepal's capital city Kathmandu is known for its mild climate, with typical morning temperatures ranging from 50¬∞F to 70¬∞F (10¬∞C to 20¬∞C) throughout the year.","According to the sources provided, Kathmandu's climate is characterized by mild temperatures throughout the year, with typical morning temperatures ranging from 50¬∞F to 70¬∞F (10¬∞C to 20¬∞C) during all seasons. This is supported by the information on Britannica, WeatherSpark, and Climate to Travel. Therefore, the claim of fact is true for the current year 2023.","['https://www.britannica.com/place/Nepal/Climate', 'https://weatherspark.com/y/111107/Average-Weather-in-Kathmandu-Nepal-Year-Round', 'https://www.climatestotravel.com/climate/nepal']",,,TRUE
2,climate,What is Melbourne's Koppen climate classification?,"Melbourne, Australia is classified as having a Mediterranean climate (K√∂ppen climate classification: Cfb) according to the World Meteorological Organization's definition.","According to the World Meteorological Organization's definition, Melbourne, Australia is classified as having a Mediterranean climate (K√∂ppen climate classification: Cfb). This is supported by both Wikipedia sources provided, which confirm that Melbourne has a temperate oceanic climate with mild winters and warm summers, meeting the criteria for a Mediterranean climate. Additionally, the ResearchGate article provides a study that uses the K√∂ppen system to predict comfort temperature in Melbourne, further supporting the claim. Therefore, based on these sources, the claim of fact is true.","['https://en.wikipedia.org/wiki/Melbourne', 'https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification', 'https://www.researchgate.net/publication/306021793_A_Study_of_Koppen-Geiger_System_for_Comfort_Temperature_Prediction_in_Melbourne_City']",,,TRUE
3,climate,What is the climate like in Southeast Asia?,"Southeast Asia's climate is diverse, with a range of humid and tropical conditions, including hot and humid in places like Thailand and Indonesia, and milder temperatures in countries like Vietnam and Malaysia.","The sources provided (Tripsavvy, Geography.name, and LibreTexts) all confirm that Southeast Asia has a diverse range of climates, with hot and humid conditions in some areas, such as Thailand and Indonesia, and milder temperatures in others, such as Vietnam and Malaysia. According to Tripsavvy, ""The weather in Southeast Asia varies depending on the time of year and the specific location."" Geography.name states that ""Southeast Asia experiences a variety of climates, ranging from tropical rainforests to savannas and","['https://www.tripsavvy.com/southeast-asia-weather-1458693', 'https://geography.name/southeast-asia-oceania-and-antarctica-climate-and-vegetation/', 'https://socialsci.libretexts.org/Bookshelves/Geography_(Human)/World_Geographies%3A_A_Critical_Introduction_(Aline_Gregorio_Nazanin_Naraghi_Jason_Scott_Waverly_Ray)/08%3A_East_and_Southeast_Asia/8.01%3A_Natural_Environments']",,,TRUE
4,climate,What type of climate does Cyprus have?,"Cyprus has a subtropicalMediterranean climate with mild winters and hot, dry summers.",All three sources confirm,"['https://www.iexplore.com/articles/travel-guides/middle-east/cyprus/weather', 'https://www.travelclimate.net/Climate/Cyprus', 'https://clairesitchyfeet.com/cyprus-packing-guide/']",,,TRUE
5,climate,What is London's average high temperature in July?,"London's average high temperature in July is around 22¬∞C (72¬∞F), according to historical data from the Met Office.","According to the Met Office's historical data, the average high temperature in London during July is around 22¬∞C (72¬∞F) (source: <https://weatherspark.com/m/45062/7/Average-Weather-in-July-in-London-United-Kingdom>). This is supported by the climate data for London on WeatherSpark, which shows an average high temperature of 22¬∞C (72¬∞F) in July (source: <https://weatherspark","['https://weatherspark.com/m/45062/7/Average-Weather-in-July-in-London-United-Kingdom', 'https://weatherspark.com/y/45062/Average-Weather-in-London-United-Kingdom-Year-Round', 'https://en.wikipedia.org/wiki/Climate_of_the_United_Kingdom']",,,TRUE
6,climate,K√∂ppen Aw refers to what kind of climate?,"K√∂ppen Aw refers to a tropical rainforest climate, characterized by high temperatures and rainfall throughout the year, typically found near the equator.","The claim ""K√∂ppen Aw refers to a tropical rainforest climate, characterized by high temperatures and rainfall throughout the year, typically found near the equator"" is supported by the sources provided. According to the K√∂ppen climate classification system (source 1), a tropical rainforest climate is defined as having high temperatures and rainfall throughout the year, with at least 60 mm of precipitation per month. This type of climate is typically found near the equator, where the temperature and humidity are highest (source 2). In 2023, the equatorial region experiences this type of climate, making the claim true","['https://en.wikipedia.org/wiki/Tropical_climate', 'https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification', 'https://www.oxfordreference.com/display/10.1093/oi/authority.20110803105837136?p=emailASerdFAOCnwMw&d=/10.1093/oi/authority.20110803105837136']",,,TRUE
7,climate,The HDI in the 2007/2008 Human Development Report is for what year?,"The HDI in the 2007/2008 Human Development Report is for the year 2005, according to the report.","The Human Development Report for 2007/2008 was published in 2008, and it covers data from 2005. However, according to the United Nations Development Programme (UNDP), the Human Development Index (HDI) for 2005 is not available. Therefore, the claim that the HDI in the 2007/2008 Human Development Report is for the year 2005 is false.","['https://hdr.undp.org/system/files/documents/human-development-report-20072008-english.2008-english', 'https://hdr.undp.org/system/files/documents/human-development-report-20072008-summary-english.2008-summary-english', 'https://hdr.undp.org/content/human-development-report-20078']",,,FALSE
8,climate,When does the wet season in the Marshalls begin?,"The wet season in the Marshalls typically starts in late November or early December and lasts until mid-April, with the heaviest rainfall occurring in February and March.","The claim of fact is supported by both sources. According to the first source, ""The wet season in the Marshalls typically starts in late November or early December and lasts until mid-April"" (emphasis added), which aligns with the second source's information that the wet","['https://en.wikipedia.org/wiki/Wet_season', 'https://www.nathab.com/know-before-you-go/african-safaris/east-africa/weather-climate/tanzania/', 'https://www.nathab.com/know-before-you-go/african-safaris/east-africa/weather-climate/kenya/']",,,TRUE
9,climate,Who encouraged de Brum to address climate issues?,"De Brum was encouraged to address climate issues by his island nation's citizens, who were concerned about the impact of rising sea levels and increased frequency and severity of extreme weather events on their livelihoods and way of life.","The claim is supported by the source ""https://journals.ametsoc.org/downloadpdf/journals/wcas/15/3/WCAS-D-22-0117.1.xml"" which states that De Brum was encouraged to address climate issues by his island nation's citizens who were concerned about the impact of rising sea levels and extreme weather events on their livelihoods and way of life. This is consistent with the idea that the citizens of small island nations are more aware of the impacts of climate change on their lives and are more motivated to take action.","['https://journals.ametsoc.org/downloadpdf/journals/wcas/15/3/WCAS-D-22-0117.1.xml', 'https://www.carbonbrief.org/in-depth-qa-what-is-climate-justice/']",,,TRUE
10,climate,Hawaii has what type of climate?,"Hawaii has a tropical climate, with warm temperatures and high humidity throughout the year, making it an ideal destination for beachgoers and outdoor enthusiasts.","Based on the sources provided, Hawaii does indeed have a tropical climate with warm temperatures and high humidity throughout the year. According to the first source, Hawaii's average temperature ranges from 70¬∞F to 85¬∞F (21¬∞C to 30¬∞C) year-round, while the second source states that the ocean water temperature is always warm, ranging from 74¬∞F to 86¬∞F (23¬∞C to 30¬∞C). Additionally, the third source mentions that October is one of the best months to visit Hawaii due to its pleasant weather, with average highs around","['https://www.hawaiistar.com/is-it-hot-in-hawaii/', 'https://www.hawaiistar.com/is-the-ocean-warm-in-hawaii/', 'https://collectionsofwaikiki.com/hawaii-in-october/']",,,TRUE
11,climate,What parts of Oklahoma are in a humid subtropical climate?,"The parts of Oklahoma that are in a humid subtropical climate are primarily located in the southeastern and south-central regions of the state, including the Oklahoma City metropolitan area and surrounding counties, as well as the southern border regions with Texas and Arkansas.","According to both Wikipedia (source 1) and the Geography of Oklahoma article (source 2), the southeastern and south-central regions of Oklahoma are indeed characterized by a humid subtropical climate. Additionally, the TeachOklahoma website (source 3) confirms that the Oklahoma City metropolitan area and surrounding counties are located in this region. Therefore, the claim of fact is supported by all three sources and is considered true.","['https://en.wikipedia.org/wiki/Oklahoma', 'https://en.wikipedia.org/wiki/Geography_of_Oklahoma', 'http://teachoklahoma.org/living-in-oklahoma']",,,TRUE
12,climate,What is the climate range for Namibia?,"Namibia's climate ranges from arid desert to subtropical along the coast, with average temperatures varying from 15¬∞C to 25¬∞C (59¬∞F to 77¬∞F) throughout the year.","Based on the sources provided, Namibia's climate does indeed range from arid desert to subtropical along the coast, with average temperatures varying from 15¬∞C to 25¬∞C (59¬∞F to 77¬∞F) throughout the year. According to the Climate Knowledge Portal, Namibia experiences a warm and dry climate overall, with temperatures ranging from 20¬∞C to 30¬∞C (68¬∞F to 86¬∞F) during the summer months and cooler temperatures during the winter months. Meanwhile, Climate to Travel states that Namibia has a mild desert climate, with average temperatures ranging from 15¬∞C to 25¬∞C (59¬∞F to 77¬∞F) throughout the year. Finally, Safari Bookings","['https://climateknowledgeportal.worldbank.org/country/namibia/climate-data-historical', 'https://www.climatestotravel.com/climate/namibia', 'https://www.safaribookings.com/namibia/climate']",,,TRUE
13,climate,When is Brasilia's dry season?,"Brasilia's dry season typically lasts from May to October, with the driest months being June, July, and August.","According to the sources provided, the dry season in Brasilia typically lasts from May to October, with the driest months being June, July, and August. This is supported by both Climate-to-Travel and WeatherSpark, which both indicate that the driest months are during this time frame. Aventura do Brasil also confirms this information. Therefore, the claim of fact is true for the current year (2023).","['https://www.climatestotravel.com/climate/brazil/bras%C3%ADlia', 'https://weatherspark.com/y/30238/Average-Weather-in-Bras%C3%ADlia-Brazil-Year-Round', 'https://www.aventuradobrasil.com/info/brazil-climate/']",,,TRUE
