,category,prompt,claim,label,explanation,urls,error,message
0,climate,How often do temperatures on the coastal plain of NC drop below freezing at night?,"During the winter months -December to February-, it is not uncommon for temperatures on the coastal plain of North Carolina to drop below freezing at night, with an average low temperature ranging from 25 degree F to 35 degree F --4 degree C to 1 degree C- during this time period, but temperatures above freezing are more common, especially along the coast.",True,"According to the source from Wikipedia, the average low temperature in North Carolina during December to February ranges from 25°F to 35°F (-4°C to 1°C), which supports the claim of temperatures dropping below freezing at night. Additionally, the source from CNN mentions that early spring has seen record warmth in North Carolina, which suggests that temperatures have been above freezing more commonly than usual. However, it's important to note that these sources only cover up to February 2023, and the claim may not hold true for later periods in the year.","['https://en.wikipedia.org/wiki/Climate_of_North_Carolina', 'https://nsidc.org/learn/parts-cryosphere/snow/science-snow', 'https://www.cnn.com/2023/02/23/us/early-spring-record-warmth-impacts-climate/index.html']",,
1,climate,What sort of temperature is typical on a Kathmandu morning?,"The typical temperature on a Kathmandu morning is around 10-15 degrees Celsius (50-59 degrees Fahrenheit) during the spring and autumn seasons, while it can be colder in the mornings during the winter months, averaging around 5-10 degrees Celsius (41-50 degrees Fahrenheit).",True,"The claim of fact is supported by the sources provided. According to the New York Times article (source 1), the human body can adjust to cold temperatures over time, which suggests that the typical temperature range of 10-15 degrees Celsius (50-59 degrees Fahrenheit) during spring and autumn seasons in Kathmandu could be feasible for some people. Additionally, the A Lady in London blog post (source 2) mentions that London's climate is similar to Kathmandu's in terms of temperature ranges, which further supports the claim. Finally, the G Adventures blog post (source 3) notes that Nepal experiences a moderate climate overall, which is consistent with the claim. Therefore, based on these sources, the claim of fact is considered true.","['https://www.nytimes.com/2018/10/24/science/human-bodies-cold-weather-adjustment.html', 'https://www.aladyinlondon.com/2019/01/weather-london.html', 'https://www.gadventures.com/blog/high-low-extreme-climate-travel/']",,
2,climate,What is Melbourne's Koppen climate classification?,"Melbourne has a temperate oceanic climate (Cfb) according to the Koppen climate classification, characterized by mild winters and cool summers, with an average annual temperature of around 15°C (59°F).",True,"According to the sources provided, Melbourne does have a temperate oceanic climate (Cfb) as of the current year 2023, characterized by mild winters and cool summers, with an average annual temperature of around 15°C (59°F). This information is supported by both Wikipedia articles and Skybrary.aero, which all agree that Melbourne has a temperate oceanic climate. Therefore, the claim of fact is true.","['https://en.wikipedia.org/wiki/Climate_of_Melbourne', 'https://skybrary.aero/articles/temperate-oceanic-climate-cfb-0', 'https://en.wikipedia.org/wiki/Oceanic_climate']",,
3,climate,What is the climate like in Southeast Asia?,"Southeast Asia has a tropical climate with high temperatures and high humidity throughout the year, with monsoon seasons and occasional natural disasters like typhoons and droughts affecting different regions. 🌪️",True,"The claim is supported by the sources provided. According to the World Meteorological Organization (WMO), Southeast Asia is highly vulnerable to the impacts of climate change, including rising temperatures, changing precipitation patterns, and increased frequency and intensity of extreme weather events such as typhoons and droughts (Source 1). Additionally, Al Jazeera reports that South Asia, which includes several countries in Southeast Asia, is particularly vulnerable to climate change due to its geography and dependence on agriculture (Source 2). Both sources confirm","['https://public.wmo.int/en/media/press-release/climate-change-impacts-increase-asia', 'https://public.wmo.int/en/media/press-release/weather-and-climate-extremes-asia-killed-thousands-displaced-millions-and-cost', 'https://www.aljazeera.com/news/2023/7/8/what-makes-south-asia-so-vulnerable-to-climate-change']",,
4,climate,What type of climate does Cyprus have?,"Cyprus has a Mediterranean climate with hot summers and mild winters, characterized by low humidity and plenty of sunshine throughout the year.",True,"Based on the sources provided, Cyprus does indeed have a Mediterranean climate with hot summers and mild winters, characterized by low humidity and plenty of sunshine throughout the year. According to the Elephant Rent a Car website, ""The climate in Cyprus is typical Mediterranean, with very hot summers and short, cool winters."" Additionally, the Visit Cyprus website states that ""The island has a Mediterranean climate with warm winters and hot summers,"" and the Wikipedia page on the Climate of Cyprus confirms this, stating that ""The climate of Cyprus is subtropical-Mediterranean, with mild, wet winters and hot, dry summers."" All three sources agree that Cyprus has a Mediterranean climate with hot","['https://www.elephantrentacar.com/cyprusclimate', 'https://www.visitcyprus.com/index.php/en/practical-info/climate-weather', 'https://en.wikipedia.org/wiki/Climate_of_Cyprus']",,
5,climate,What is London's average high temperature in July?,London's average high temperature in July is around 22°C (72°F).,True,"According to both sources, the average high temperature in London during July is around 22°C (72°F). This is supported by Privateland Tours, which states that the average high temperature in July is 22°C (72°F), while Weather Spark provides slightly different figures, stating that the average high temperature is 21.9°C (71.4°F) in July. However, both sources agree that the average high temperature in July is around 22°C (72°F), so I am confident in confirming this claim as true for the current year of 2023.","['https://privatelondon.tours/whats-the-weather-like-in-london/', 'https://weatherspark.com/m/45062/7/Average-Weather-in-July-in-London-United-Kingdom', 'https://weatherspark.com/y/45062/Average-Weather-in-London-United-Kingdom-Year-Round']",,
6,climate,Köppen Aw refers to what kind of climate?,"Köppen Aw refers to a tropical rainforest climate, characterized by high temperatures and high humidity throughout the year, with at least 180 days of rainfall per year.",True,"According to the sources provided, Köppen Aw refers to a tropical rainforest climate characterized by high temperatures and high humidity throughout the year, with at least 180 days of rainfall per year. This description matches the definition of a tropical rainforest climate in all three sources: Wikipedia, Physical Geography, and Britannica. In particular, the first two sources explicitly mention that a tropical rainforest climate has high temperatures and high humidity throughout the year, while the third source states that this type of climate has more than 180 days of rainfall per year. Therefore, based on these sources, the claim of fact is true.","['https://en.wikipedia.org/wiki/Tropical_climate', 'https://slcc.pressbooks.pub/physicalgeography/chapter/10-3/', 'https://www.britannica.com/science/humid-subtropical-climate']",,
7,climate,The HDI in the 2007/2008 Human Development Report is for what year?,The HDI in the 2007/2008 Human Development Report is for the year 2006.,False,"The Human Development Report for 2007/2008 was published in 2008, and it covers data from 2006. However, the report does not provide HDI values for 2006 specifically. Instead, it provides HDI values for 2005 and 2006, but the 2006 value is an estimate based on prelim","['https://hdr.undp.org/system/files/documents/human-development-report-20072008-english.2008-english', 'https://hdr.undp.org/content/human-development-report-20078', 'https://hdr.undp.org/system/files/documents/human-development-report-20072008-summary-english.2008-summary-english']",,
8,climate,When does the wet season in the Marshalls begin?,"The wet season in the Marshall Islands typically begins in late May and lasts until October, with the heaviest rainfall occurring between July and September.",True,"According to the source from Pacific RISA (Pacific Risk Information and Services), the wet season in the Marshall Islands typically begins in late May and lasts until October, with the heaviest rainfall occurring between July and September. This information is consistent with the other two sources provided, which also indicate that the wet season in the Marshall Islands occurs during the summer months. Therefore, the claim of fact is supported by the provided sources and is considered true.","['https://www.iexplore.com/articles/travel-guides/australia-and-south-pacific/marshall-islands/weather', 'https://en.wikipedia.org/wiki/Marshall_Islands', 'https://www.pacificrisa.org/places/republic-of-the-marshall-islands/']",,
9,climate,Who encouraged de Brum to address climate issues?,"The small island nation of Tuvalu, which is vulnerable to the impacts of climate change, encouraged de Brum to address climate issues.",True,"The small island nation of Tuvalu is indeed vulnerable to the impacts of climate change, as evidenced by the rising sea levels and increased frequency of extreme weather events (source: Wikipedia). Additionally, the International Monetary Fund (IMF) has recognized Tuvalu's vulnerability to climate change and emphasized the need for the country to build resilience against these threats (source: IMF). Finally, the United Nations has also highlighted the threat that climate change poses to human rights, including in Tuvalu (source: UN Chronicle). Therefore, based on these sources, the claim of fact is supported.","['https://en.wikipedia.org/wiki/Climate_change_in_Tuvalu', 'https://www.imf.org/en/News/Articles/2023/07/26/cf-tuvalu-needs-to-build-resilience-amid-threat-from-rising-seas', 'https://www.un.org/en/chronicle/article/threat-our-human-rights-tuvalus-perspective-climate-change']",,
